epoch,loss,lr,mae,time,val_loss,val_mae
0,0.35081148,0.001,0.49838424,27.461589097976685,0.65397143,0.8022647
1,0.31736895,0.000796875,0.47790262,14.380840539932251,0.66206723,0.8022196
2,0.27995142,0.00059375,0.44469061,14.556993007659912,0.700885,0.8346228
3,0.244175,0.000390625,0.40986148,14.463829517364502,0.7258933,0.84832555
4,0.23022886,0.0001875,0.3932332,14.449231386184692,0.7376962,0.8528952
5,0.22112755,0.0001875,0.38354608,14.363612413406372,0.72247046,0.8444576
6,0.21648026,0.0001875,0.37764752,14.47622013092041,0.78893256,0.8816371
7,0.21620066,0.0001875,0.37536755,14.228190422058105,0.7451642,0.8590339
8,0.2096232,0.0001875,0.36832514,14.146088600158691,0.7718582,0.87265235
9,0.21260037,0.0001875,0.37241706,14.060092210769653,0.75998515,0.86828345
10,0.20936102,0.0001875,0.3702244,14.3552405834198,0.77523226,0.8770893
11,0.20082347,0.0001875,0.36110952,14.025054693222046,0.79018575,0.8841874
12,0.20170002,0.0001875,0.36096418,14.179008483886719,0.7550865,0.8639907
13,0.20045835,0.0001875,0.3565949,13.98203420639038,0.79111785,0.8861006
14,0.19904085,0.0001875,0.35796142,13.976542472839355,0.78656846,0.88040566
15,0.19772518,0.0001875,0.35672605,14.037769556045532,0.7934871,0.8863242
