epoch,loss,lr,mae,time,val_loss,val_mae
0,0.33479485,0.001,0.4907852,30.144880771636963,0.35807204,0.5584003
1,0.29972795,0.0009375,0.46596256,15.868154525756836,0.3432747,0.5491083
2,0.27032822,0.000875,0.43670833,16.063715934753418,0.3539854,0.5376557
3,0.25352833,0.0008125,0.41850814,15.729911804199219,0.3194678,0.52846354
4,0.24434836,0.00075,0.40956149,15.207767724990845,0.3245532,0.5210067
5,0.23848893,0.00075,0.4038192,14.944180011749268,0.33289978,0.5360313
6,0.23383366,0.00075,0.40015388,14.6641685962677,0.315805,0.51207703
7,0.22575678,0.00075,0.3931786,14.5973379611969,0.3112589,0.5068554
8,0.22059858,0.00075,0.38831934,14.317394733428955,0.2995408,0.48829666
9,0.21299845,0.00075,0.38137695,14.626115083694458,0.31330934,0.50391436
10,0.2107756,0.00075,0.37853965,14.661011457443237,0.298635,0.48021817
11,0.20401512,0.00075,0.372574,14.450538158416748,0.28427577,0.47102833
12,0.1993296,0.00075,0.36814833,14.279893398284912,0.2854399,0.46917525
13,0.19597621,0.00075,0.3645865,14.329037189483643,0.27983496,0.46437034
14,0.19350193,0.00075,0.36311784,14.349860906600952,0.28240272,0.46439004
15,0.18780994,0.00075,0.3570764,14.382701873779297,0.27809188,0.45741856
