epoch,loss,lr,mae,time,val_loss,val_mae
0,0.34377062,0.001,0.49836478,34.21166801452637,0.31505108,0.49888435
1,0.30277064,0.001125,0.4670985,16.6825692653656,0.26084518,0.44675842
2,0.26809815,0.00125,0.4313127,16.42847990989685,0.24208325,0.42190775
3,0.256601,0.001375,0.41918024,16.148881673812866,0.22973154,0.40435362
4,0.24901915,0.0015,0.4113907,15.87053394317627,0.2287075,0.40534946
5,0.24192475,0.0015,0.40469143,15.702268838882446,0.21945982,0.39213893
6,0.23068754,0.0015,0.3942255,15.51775598526001,0.20552124,0.37310562
7,0.2160827,0.0015,0.38010165,15.617265462875366,0.19409376,0.35421094
8,0.20750402,0.0015,0.3718613,15.500608921051025,0.20424648,0.35540557
9,0.20674063,0.0015,0.3701675,15.734044075012207,0.20513809,0.36199114
10,0.2007422,0.0015,0.3633124,15.671220541000366,0.20929153,0.35793218
11,0.19559819,0.0015,0.3586595,15.23510217666626,0.19554704,0.35068563
12,0.19516169,0.0015,0.35804245,15.38857388496399,0.20451093,0.34922925
13,0.19299561,0.0015,0.35607317,15.420792818069458,0.21235497,0.36519226
14,0.19161688,0.0015,0.35381424,15.415452480316162,0.21286887,0.36053684
15,0.18814762,0.0015,0.35099316,15.502461910247803,0.20302387,0.35235164
