epoch,loss,lr,mean_absolute_error,time,val_loss,val_mean_absolute_error
0,0.21975002,0.001,0.38262627,691.8820996284485,0.15967403,0.31808
1,0.17897674,0.001,0.3398643,666.8035581111908,0.14017597,0.2992835
2,0.15178181,0.001,0.3118852,668.1822860240936,0.10589714,0.25963074
3,0.11884275,0.001,0.27434027,667.8077073097229,0.070230976,0.20405068
4,0.10310258,0.001,0.2537527,665.5041325092316,0.11318647,0.26257217
