epoch,loss,lr,mae,time,val_loss,val_mae
0,0.40545443,0.001,0.52466744,24.884947776794434,0.5700601,0.7395628
1,0.3132369,0.0007734375,0.46513474,13.385223627090454,0.58153147,0.7287205
2,0.2258056,0.000546875,0.3818952,13.184413194656372,0.61964136,0.7687309
3,0.16858153,0.0003203125,0.32148874,13.303628921508789,0.71354175,0.80399543
4,0.15072416,9.375e-05,0.2998257,13.13302230834961,0.71550584,0.8107614
5,0.14542116,9.375e-05,0.29530504,13.010436773300171,0.6591268,0.7937868
6,0.14934574,9.375e-05,0.30207622,12.925338506698608,0.6656341,0.7982517
7,0.13904193,9.375e-05,0.28919864,13.084339141845703,0.7022279,0.81569815
8,0.1399948,9.375e-05,0.2917247,13.080623865127563,0.7038908,0.8193181
9,0.13985997,9.375e-05,0.28748697,13.110585689544678,0.72399133,0.8254094
10,0.13730407,9.375e-05,0.2848592,13.435585260391235,0.70862883,0.82213134
11,0.1320769,9.375e-05,0.28126886,12.987001419067383,0.70120674,0.8210347
12,0.13307774,9.375e-05,0.2814046,13.061363458633423,0.7090985,0.82674617
13,0.13576292,9.375e-05,0.28479052,13.132801532745361,0.7178318,0.829305
14,0.13820899,9.375e-05,0.28685427,12.744921922683716,0.719618,0.8298207
15,0.1266193,9.375e-05,0.27701893,12.97049880027771,0.7001171,0.81969506
