epoch,loss,lr,mae,time,val_loss,val_mae
0,0.4035295,0.001,0.52866435,20.341652870178223,0.6006939,0.7441341
1,0.33818495,0.0007734375,0.48860565,12.120543718338013,0.6106716,0.7622404
2,0.29208267,0.000546875,0.4504528,12.176493883132935,0.62328,0.78231984
3,0.22906865,0.0003203125,0.3890488,12.075945377349854,0.707849,0.83142424
4,0.19176562,9.375e-05,0.35454416,12.005179166793823,0.69138736,0.8218958
5,0.18117742,9.375e-05,0.33686146,12.007053852081299,0.7348712,0.84612685
6,0.17466474,9.375e-05,0.32928157,12.044787883758545,0.71749544,0.836741
7,0.16807671,9.375e-05,0.3197861,11.93882966041565,0.70663065,0.8280761
8,0.16323318,9.375e-05,0.31813776,12.033819913864136,0.74671215,0.85202307
9,0.16397451,9.375e-05,0.3169838,11.973254919052124,0.6956353,0.8229408
10,0.15934934,9.375e-05,0.31212306,11.932200193405151,0.72346514,0.8385518
11,0.15877672,9.375e-05,0.31157288,11.857118129730225,0.69069976,0.8200519
12,0.1567688,9.375e-05,0.30497584,12.005414724349976,0.7062629,0.82676345
13,0.15589797,9.375e-05,0.3078433,11.888123035430908,0.7468663,0.84923476
14,0.14305152,9.375e-05,0.2957872,12.03870964050293,0.71596164,0.8329014
15,0.1510841,9.375e-05,0.30179536,11.967013835906982,0.6754568,0.80945665
