epoch,loss,lr,mean_absolute_error,time,val_loss,val_mean_absolute_error
0,0.27184126,0.001,0.43756136,248.61274003982544,0.25052062,0.4211712
1,0.21484289,0.000875,0.37806898,239.8422131538391,0.19857353,0.3655731
2,0.19924067,0.00075,0.36131132,241.00798225402832,0.20169312,0.3725102
3,0.19292521,0.000625,0.3546942,240.58585810661316,0.18463963,0.35065264
